sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote
AC-DZLZ-PFE9	B016ZT0SCY	B016ZT0SCY	LolaChat universal Portable Power Bank Grace	New	9.75	No		Yes	0	0	0	0	0	155.19	0	0	0	0	0	0	0	0
SMICHI2R	X001CYIQC5	B09GFQT6X5	50 Spritzwassergeschützte 3-lagige chirurgische Einwegmasken vom Typ IIR konform mit UNI EN 14683:2019+AC:2019 | BFE >98%	New	8.65	No		Yes	22	0	5	17	22	1886.81	0	0	0	0	0	0	0	0
SMIFFP2-DR-1	B0BK9Q8G2T	B0BK9Q8G2T	ADESTE - 50 FFP2 Masken, hygienische 5-langen Staubschutzmaske, EN149:2001+A1:2009 Mundschutzmaske EU2016/425, weiß, Atemschutzmaske, Einzelne versiegelte Beutel	New	12.90	No		Yes	1	0	1	0	1	3364.76	0	0	0	0	0	0	0	0
SMIFFP2-HW-1	B0BK9NP2XP	B0BK9NP2XP	ADESTE - 50 FFP2 Masken, hygienische 5-lagige Staubschutzmaske, EN149:2001+A1:2009 Mundschutzmaske EU2016/425, weiß, Atemschutzmaske, Einzelne versiegelte Beutel	New	10.50	No		Yes	55	0	0	55	686	3795.41	0	574	57	0	0	281	0	0
SMIFFP2A	X001A82AF7	B08KCWCM7M	CRDLIGHT 25 FFP2-Masken 5 Lagen ohne Ventil einzeln verpackt, CE 2163 zertifiziert und konform mit UNI EN 149: 2001 + A1: 2009 | BFE in Verschleißsimulation 99,5%.	New	9.94	No		Yes	0	0	0	0	0	1156.93	0	0	0	0	0	0	0	0
SMIFFP2A-RL-101	X001BU4PLV	B08XQWVC48	Polonord Adeste 25 FFP2-Masken 5 Lagen ohne Ventil einzeln verpackt, CE 0598 zertifiziert und konform mit UNI EN 149: 2001 + A1: 2009 | BFE in Verschleißsimulation 99,5%	New	12.50	No		Yes	0	0	0	0	0	1865.67	0	0	0	0	0	0	0	0
SMIT11	B09GFQQ1CM	B09GFQQ1CM	5 Kit COVID-19 Antigen Schnelltest (Speichel) zur Eigenanwendung	New	12.99	No		Yes	11	0	9	2	11	1142.83	0	0	0	0	0	0	0	0
SMIT13	B09GFLXSRF	B09GFLXSRF	Adeste – NEU 5 x 1er Corona Schnelltest für Zuhause COVID 19 Antigen Rapid Test Swab Selbsttest	New	30.00	No		Yes	2	0	1	1	2	1039.1	0	0	0	0	0	0	0	0
SMIT25	B09HVCKFTB	B09HVCKFTB	Adeste – 5 x 1er Corona Schnelltest für Zuhause COVID 19 Antigen Rapid Test Swab Selbsttest. Geprüft für alle neuen 2024 Varianten. Zertifiziert für den Heimgebrauch	New	15.95	No		Yes	0	0	0	0	0	1029.44	0	0	0	0	0	0	0	0
SMITC01	B0B5GN86QG	B0B5GN86QG	Adeste, 5 x 1er Corona Schnelltest für Zuhause COVID 19 und Influenza A/B Antigen Rapid Test Swab Selbsttest. Geprüft für neuen 2024-Varianten. Multiplex-Panel für den Heimgebrauch (Nasenabstrich)	New	40.00	No		Yes	6	0	1	5	6	1169.87	0	0	0	0	0	0	0	0
SMITC01-10	B0BJZZCVQ1	B0BJZZCVQ1	Adeste, 10 x 1er Corona Schnelltest für Zuhause COVID 19 und Influenza A/B Antigen Rapid Test Swab Selbsttest. Geprüft für neuen 2024-Varianten. Multiplex-Panel für den Heimgebrauch (Nasenabstrich)	New	35.80	No		Yes	1	0	0	1	1	1688.36	0	0	0	0	0	0	0	0
SMITC01-20	B0BJZYJTVX	B0BJZYJTVX	Adeste, 20 x 1er Corona Schnelltest für Zuhause COVID 19 und Influenza A/B Antigen Rapid Test Swab Selbsttest. Geprüft für neuen 2024-Varianten. Multiplex-Panel für den Heimgebrauch (Nasenabstrich)	New	53.65	No		Yes	0	0	0	0	0	3683.48	0	0	0	0	0	0	0	0
