sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote
00-LEEU-IKQP	B01BVDDLMS	B01BVDDLMS	LolaChat Wired extendable Selfie Stick for iPhone 6/Samsung	New	8.99	No		Yes	0	0	0	0	0	295.13	0	0	0	0	0	0	0	0
1H-XWJ0-OL3R	B016ZUXQBI	B016ZUXQBI	LolaChat Power Bank	New	9.99	No		Yes	0	0	0	0	0	258.75	0	0	0	0	0	0	0	0
35-EX4X-Y2PO	B01BVE6F0W	B01BVE6F0W	Kit voiture LolaChat Ghost&#x202F;: Chargeur de Voiture pour allume-cigare avec 2 ports USB + Support Voiture Universel pour Smartphone	New	9.99	No		Yes	0	0	0	0	0	299.72	0	0	0	0	0	0	0	0
7E-PM2V-COV6	B00M2WWW0U	B00M2WWW0U	LolaChat Oreillette filaire Écouteurs intra-auriculaire stéréo ergonomique Ultra confortable avec Microphone et Bouton de Multifonction, 1,2 m pour les smartphones et les tablettes Fulmine (Crâne, Blague, Peur, Cadeau de Fille)	New	9.99	No		Yes	0	0	0	0	0	1221.33	0	0	0	0	0	0	0	0
9G-UZFS-SOEP	B00TXBW0VO	B00TXBW0VO	LolaChat Oreillette filaire Écouteurs intra-auriculaire stéréo ergonomique Ultra confortable avec Microphone et Bouton de Multifonction, 1,2 m pour les smartphones et les tablettes Milly (vache, cadeau de fille)	New	9.99	No		Yes	0	0	0	0	0	1174.62	0	0	0	0	0	0	0	0
AC-DZLZ-PFE9	B016ZT0SCY	B016ZT0SCY	LolaChat Power Bank	New	9.99	No		Yes	0	0	0	0	0	155.19	0	0	0	0	0	0	0	0
AS-23WF-U6VX	B0758D2KZ8	B0758D2KZ8	Polonord - Support universel pour smartphone et tablette - Fonctionnel et résistant - Compatible avec iPhone, Samsung, Android, tablette etc.	New	5.36	No		Yes	0	0	0	0	0	31.95	0	0	0	0	0	0	0	0
FD-CVQR-GZPR	B00LSUALB4	B00LSUALB4	LolaChat Oreillette Filaire Écouteurs Intra-auriculaire stéréo Ergonomique Rosina Ultra Confortable avec Microphone et Bouton de Multifonction, 1,2 m pour Les Smartphones et Les tablettes (Rose)	New	9.99	No		Yes	0	0	0	0	0	1234.27	0	0	0	0	0	0	0	0
GG-C664-GXWM	B00TXBZ7LE	B00TXBZ7LE	LolaChat Oreillette filaire Écouteurs intra-auriculaire stéréo ergonomique Ultra confortable avec Microphone et Bouton de Multifonction, 1,2 m pour les smartphones et les tablettes Rock (crâne, blague, peur)	New	9.99	No		Yes	0	0	0	0	0	359.04	0	0	0	0	0	0	0	0
J0-Z3NN-N1TB	B016ZS6DO2	B016ZS6DO2	LolaChat Power Bank	New	9.99	No		Yes	0	0	0	0	0	267.93	0	0	0	0	0	0	0	0
