sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote
00-LEEU-IKQP	B01BVDDLMS	B01BVDDLMS	LolaChat wired extendable Selfie Stick for iPhone 6, Samsung (Vibrant Pink, Colorful)	New	10.95	No		Yes	0	0	0	0	0	295.13	0	0	0	0	0	0	0	0
35-EX4X-Y2PO	B01BVE6F0W	B01BVE6F0W	LolaChat Car Kit: Air Vents Car Smartphone Holder for iPhone 6 and Samsung + Dual USB Port Cigarette Car Charger (Hot Pink, Rosa)	New	11.95	No		Yes	0	0	0	0	0	299.72	0	0	0	0	0	0	0	0
7E-PM2V-COV6	B00M2WWW0U	B00M2WWW0U	LolaChat HALLOWEEN SPECIAL Skull In-ear earbuds Fulmine with remote and Microphone. Present for girls of any age. Headphone for Iphone, Samsung, Nokia, Ipad, Apple (halloween, emo, black & blue)	New	11.95	No		Yes	0	0	0	0	0	1221.33	0	0	0	0	0	0	0	0
9D-AJCF-9IMN	B01DUNK7OM	B01DUNK7OM	Wireless Bluetooth V4.0 Portable Speaker with HD Sound and Bass (Black)	New	9.00	No		Yes	0	0	0	0	0	269.24	0	0	0	0	0	0	0	0
9G-UZFS-SOEP	B00TXBW0VO	B00TXBW0VO	LolaChat Cow Earphones with Mic Cute present for girls of any age. Headphone for Iphone, Samsung, Nokia, Ipad, Apple	New	11.95	No		Yes	0	0	0	0	0	1174.62	0	0	0	0	0	0	0	0
AC-DZLZ-PFE9	B016ZT0SCY	B016ZT0SCY	Lolachat Mini Portable Power Bank Grace. Chargers for Cell Phones and Other Devices. Lipstick sized	New	4.88	No		Yes	0	0	0	0	0	155.19	0	0	0	0	0	0	0	0
AS-23WF-U6VX	B0758D2KZ8	B0758D2KZ8	Foldable Smartphone and Tablet Stand, Universal Table Stand Functional and durable Compatible With Iphone, Samsung, Android, Tablet ecc	New	3.83	No		Yes	0	0	0	0	0	31.95	0	0	0	0	0	0	0	0
FD-CVQR-GZPR	B00LSUALB4	B00LSUALB4	Cute Owl Earphone with remote and Microphone. Present for girls of any age. Pink headphone for Iphone, Samsung, Nokia, Ipad, MP3, Apple	New	11.95	No		Yes	0	0	0	0	0	1234.27	0	0	0	0	0	0	0	0
GG-C664-GXWM	B00TXBZ7LE	B00TXBZ7LE	LolaChat HALLOWEEN SPECIAL - Skull Headphones for girls with Mic Present for girls of any age. Headphone for Iphone, Samsung, Nokia, Ipad, Apple (halloween, emo)	New	11.95	No		Yes	0	0	0	0	0	359.04	0	0	0	0	0	0	0	0
JI-LPTC-CLFW	X0009ALXKZ	B00M2WSL6O	LolaChat cute brown bear headphone with Microphone. Pure Sound earbud, for Girls and Teenagers (Teddy)	New	11.95	No		Yes	0	0	0	0	0	1234.27	0	0	0	0	0	0	0	0
JI-LPTC-CLFW-label	X0009BQ76T	B00LVV34NM	LolaChat Cute Wired Rabbit Headphone for Girls and Kids Quality Earphones with Microphone for iPhone, Samsung, Nokia, Ipad.	New	11.95	No		Yes	0	0	0	0	0	1208.22	0	0	0	0	0	0	0	0
NQ-MANP-RSBM	B00LSSDR08	B00LSSDR08	LolaChat Bird In-Ear green Headphones for girls with Mic Colorful Earphones for iPhone Android Apple Smartphones MP3	New	11.95	No		Yes	0	0	0	0	0	1208.22	0	0	0	0	0	0	0	0
QL-97IN-KPDG	B00TXBT102	B00TXBT102	LolaChat Ladybug Headphones for girls with Mic Present for girls of any age. Headphone for Iphone, Samsung, Nokia, iPad, Apple (Lucky, red & black)	New	11.95	No		Yes	0	0	0	0	0	1221.33	0	0	0	0	0	0	0	0
SMICHI2R	X001CYIQC5	B09GFQT6X5	50 Disposable 3-layer Type IIR surgical masks splash resistant and compliant with UNI EN 14683: 2019 + AC: 2019 | BFE> 98%	New	6.01	No		Yes	0	0	0	0	0	1886.81	0	0	0	0	0	0	0	0
SMIFFP2-DR-1	B0BK9Q8G2T	B0BK9Q8G2T	FFP2 Masks Pack of 50 - CE certified, controlled supply chain, comfortable, hypoallergenic, and adjustable elastic bands. Safe: filtration in wear simulation 99.5%. Single sealed pouches	New	10.63	No		Yes	0	0	0	0	0	3364.76	0	0	0	0	0	0	0	0
SMIFFP2-FM-2	B0CLRR1WWK	B0CLRR1WWK	Polonord Adeste FFP2 Masks Black color, Pack of 50 - CE certified, controlled supply chain, comfortable, hypoallergenic, and safe. Single sealed pouches	New	8.92	No		Yes	0	0	0	0	0	5329.56	0	0	0	0	0	0	0	0
SMIFFP2-HW-1	B0BK9NP2XP	B0BK9NP2XP	FFP2 Masks Pack of 50 - UKCA certified, controlled supply chain, comfortable, hypoallergenic, and adjustable elastic bands. Safe: filtration in wear simulation 99,5%. Single sealed pouches	New	8.75	No		Yes	0	0	0	0	0	3795.41	0	0	0	0	0	0	0	0
SMIFFP2A-RL-101	X001BU4PLV	B08XQWVC48	ADESTE - 25 White FFP2 Masks CE certified, controlled supply chain, comfortable, hypoallergenic, and adjustable elastic bands. Safe: filtration in wear simulation 99.5%. Single sealed pouches	New	12.80	No		Yes	0	0	0	0	0	1865.67	0	0	0	0	0	0	0	0
YG-HXBD-EM5S	B0759VTQM5	B0759VTQM5	Support Smartphone Table to Four Inclinations, Great Gift Cute and useful for Watching Videos, Read and Listen to Music	New	2.82	No		Yes	0	0	0	0	0	31.95	0	0	0	0	0	0	0	0
