sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote
00-LEEU-IKQP	B01BVDDLMS	B01BVDDLMS	Bastone selfie stick universale estendibile LolaChat	New	9.99	No		Yes	0	0	0	0	0	295.13	0	0	0	0	0	0	0	0
HT-BHCG	B0C7KWTHLF	B0C7KWTHLF	TEST GRAVIDANZA PRECOCE SU SANGUE Adeste - Rapido fai da te per la rilevazione dell'ormone hCG che indica una gravidanza in corso	New	19.99	No		Yes	0	0	0	0	0	597.31	0	0	0	0	0	0	0	0
HT-BMDR	B0C7KV8H9M	B0C7KV8H9M	TEST BORRELIOSI Adeste - Rapido fai da te per la diagnosi della malattia di Lyme	New	19.99	No		Yes	17	15	2	0	17	597.96	0	0	0	0	0	0	15	0
HT-CRPR	B0C7KZ2X8W	B0C7KZ2X8W	TEST PROTEINA C-REATTIVA (CRP) Adeste - Rapido fai da te per la rilevazione di malattie infettive batteriche e stati infiammatori	New	19.99	No		Yes	0	0	0	0	0	652.37	0	0	0	0	0	0	0	0
HT-GTCR	B0C7KXWKN9	B0C7KXWKN9	TEST CELIACHIA Adeste - Rapido fai da te. Per intolleranza alimentare al glutine, per adulti e bambini	New	19.99	No		Yes	1	0	0	0	1	519.31	0	0	0	1	0	0	0	0
HT-HPAB	B0C7KY9F34	B0C7KY9F34	TEST HELICOBACTER PYLORI Adeste - Rapido fai da te per lo screening delle infezioni allo stomaco	New	19.99	No		Yes	43	43	0	0	43	597.31	0	0	0	0	0	0	43	0
HT-IGEA	B0C7KWKM8H	B0C7KWKM8H	TEST ALLERGIE Adeste - Rapido fai da te per la rilevazione dei livelli IgE nel sangue. Determina la presenza di allergie	New	19.99	No		Yes	8	8	0	0	8	594.69	0	0	0	0	0	0	8	0
HT-LISR	B0C7KXVDTP	B0C7KXVDTP	TEST FEGATO Adeste - Rapido fai da te per la rilevazione di problemi al fegato	New	19.99	No		Yes	1	0	1	0	1	604.68	0	0	0	0	0	0	0	0
HT-MAKF	B0C7KWLHPZ	B0C7KWLHPZ	TEST INSUFFICIENZA RENALE Adeste - Rapido fai da te per la rilevazione di albumina nelle urine	New	19.99	No		Yes	99	99	0	0	99	628.61	0	0	0	0	0	0	99	0
HT-ORHIV-1	B0CBQ9FMLL	B0CBQ9FMLL	HIV Test Salivare Fluido Orale Rapido Fai Da Te. Indolore, Privato. Sensibilità 100% Accuratezza 99,8%. Il 1° Autotest che puoi fare da solo a casa o in viaggio. ORAQUICK Adeste.	New	29.99	No		Yes	31	8	0	21	31	531.76	0	0	0	2	0	0	8	0
HT-ORHIV-2	B0CBQCHTJ9	B0CBQCHTJ9	HIV Test Salivare Fluido Orale Rapido Fai Da Te. Indolore, Privato. Sensibilità 100% Accuratezza 99,8%. Il 1° Autotest che puoi fare da solo a casa o in viaggio. ORAQUICK Adeste. Confezione da 2 test	New	44.95	No		Yes	24	22	0	2	24	1179.38	0	0	0	0	0	0	22	0
HT-ORHIV-5	B0CCDPVG8S	B0CCDPVG8S	HIV Test Salivare Fluido Orale Rapido Fai Da Te. Indolore, Privato. Sensibilità 100% Accuratezza 99,8%. Il 1° Autotest che puoi fare da solo a casa o in viaggio. ORAQUICK Adeste. Confezione da 5 test	New	99.90	No		Yes	0	0	0	0	0	2593.42	0	0	0	0	0	0	0	0
HT-ORHIV1-A	X0023DGVCV	B0CBQ9FMLL	HIV Test Salivare Fluido Orale Rapido Fai Da Te. Indolore, Privato. Sensibilità 100% Accuratezza 99,8%. Il 1° Autotest che puoi fare da solo a casa o in viaggio. ORAQUICK Adeste.	New	29.99	No		Yes	400	400	0	0	400	531.76	0	0	0	0	0	0	400	0
HT-ORHIV2-A	X0023D8VW9	B0CBQCHTJ9	HIV Test Salivare Fluido Orale Rapido Fai Da Te. Indolore, Privato. Sensibilità 100% Accuratezza 99,8%. Il 1° Autotest che puoi fare da solo a casa o in viaggio. ORAQUICK Adeste. Confezione da 2 test	New	44.95	No		Yes	0	0	0	0	60	1179.38	0	60	0	0	0	0	0	0
HT-ORHIV5-A	X0023DGI2T	B0CCDPVG8S	HIV Test Salivare Fluido Orale Rapido Fai Da Te. Indolore, Privato. Sensibilità 100% Accuratezza 99,8%. Il 1° Autotest che puoi fare da solo a casa o in viaggio. ORAQUICK Adeste. Confezione da 5 test	New	99.90	No		Yes	0	0	0	0	0	2593.42	0	0	0	0	0	0	0	0
HT-PSAR	B0C5RSQKYY	B0C5RSQKYY	TEST PROSTATA Adeste - Rapido fai da te per la rilevazione dell'antigene prostatico specifico (PSA) nel sangue	New	19.99	No		Yes	43	43	0	0	43	270.06	0	0	0	0	0	0	43	0
HT-STAR	B0C6F9CYYP	B0C6F9CYYP	Adeste - Tampone Streptococco rapido bambini e adulti. Test Streptococco Certificato CE in Germania prodotto in Francia	New	19.99	No		Yes	96	96	0	0	96	655.97	0	0	0	0	0	0	96	0
HT-VEBHCG-2	B0C7R3R7SX	B0C7R3R7SX	TEST GRAVIDANZA PRECOCE SU SANGUE Adeste - Rapido fai da te per la rilevazione dell'ormone hCG che indica una gravidanza in corso. Confezione da 2 test	New	29.99	No		Yes	69	69	0	0	69	621.73	0	0	0	0	0	0	69	0
HT-VEBHCG1-A	X00216GDMX	B0C7KWTHLF	TEST GRAVIDANZA PRECOCE SU SANGUE Adeste - Rapido fai da te per la rilevazione dell'ormone hCG che indica una gravidanza in corso	New	19.99	No		Yes	4	4	0	0	4	597.31	0	0	0	0	0	0	4	0
HT-VEBHCG2-A	X00216UGXF	B0C7R3R7SX	TEST GRAVIDANZA PRECOCE SU SANGUE Adeste - Rapido fai da te per la rilevazione dell'ormone hCG che indica una gravidanza in corso. Confezione da 2 test	New	29.99	No		Yes	0	0	0	0	0	621.73	0	0	0	0	0	0	0	0
HT-VEBMDR-2	B0C7R1169D	B0C7R1169D	TEST BORRELIOSI Adeste - Rapido fai da te per la diagnosi della malattia di Lyme. Confezione da 2 test	New	29.99	No		Yes	32	30	0	2	32	644.34	0	0	0	0	0	0	30	0
HT-VECRPR-2	B0C7QZLCFH	B0C7QZLCFH	TEST PROTEINA C-REATTIVA (CRP) Adeste - Rapido fai da te per la rilevazione di malattie infettive batteriche e stati infiammatori. Confezione da 2 test	New	29.99	No		Yes	0	0	0	0	0	605.83	0	0	0	0	0	0	0	0
HT-VEGTCR-2	B0C7R41CDN	B0C7R41CDN	TEST CELIACHIA Adeste - Rapido fai da te. Per intolleranza alimentare al glutine, per adulti e bambini. Confezione da 2 test	New	29.99	No		Yes	11	11	0	0	11	607.96	0	0	0	0	0	0	11	0
HT-VEGTCR1-A	X00216QPUN	B0C7KXWKN9	TEST CELIACHIA Adeste - Rapido fai da te. Per intolleranza alimentare al glutine, per adulti e bambini	New	19.99	No		Yes	0	0	0	0	0	519.31	0	0	0	0	0	0	0	0
HT-VEGTCR2-A	X00216ST89	B0C7R41CDN	TEST CELIACHIA Adeste - Rapido fai da te. Per intolleranza alimentare al glutine, per adulti e bambini. Confezione da 2 test	New	29.99	No		Yes	33	33	0	0	33	607.96	0	0	0	0	0	0	33	0
